epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,17879.7,1.73906,1.21848,0.00567,0.6648,0.56483,0.59181,0.31139,1.77455,1.39525,0.00698,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,18084,1.73942,1.20982,0.00564,0.67684,0.56031,0.59303,0.31258,1.77238,1.38665,0.00696,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18287.8,1.74185,1.20404,0.00567,0.67413,0.56352,0.59254,0.31274,1.77114,1.38976,0.00695,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18492,1.72859,1.17172,0.0056,0.67778,0.5593,0.59314,0.31292,1.77063,1.38871,0.00693,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18696.1,1.65791,1.01931,0.00606,0.67954,0.55815,0.59077,0.31236,1.77184,1.39198,0.00694,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18898.4,1.63527,1.01932,0.00602,0.67806,0.55982,0.59102,0.31278,1.77284,1.39216,0.00696,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,19101.6,1.621,0.9819,0.00589,0.67635,0.5613,0.59076,0.31369,1.76922,1.3986,0.00694,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19304.6,1.61737,0.97238,0.00578,0.67499,0.56179,0.59104,0.31432,1.76743,1.40381,0.00695,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19507.5,1.60775,0.97684,0.00583,0.68502,0.55698,0.59128,0.31545,1.765,1.40792,0.00693,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19710.3,1.60045,0.97711,0.00578,0.68132,0.55794,0.59087,0.31578,1.76559,1.40488,0.0069,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19912.8,1.58433,0.94924,0.00571,0.68335,0.55628,0.59064,0.31686,1.76481,1.40232,0.00689,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,20115.9,1.58403,0.9631,0.00566,0.68615,0.55753,0.59072,0.31731,1.76201,1.4051,0.00687,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20319,1.57735,0.95402,0.00566,0.68559,0.55508,0.59083,0.31703,1.76165,1.40494,0.00686,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20521.4,1.57019,0.93515,0.00558,0.68309,0.55763,0.59089,0.31705,1.75998,1.40414,0.00684,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
